Rank,Title,Author,Rating,Number of Ratings,Date,Description,Reviews,Pages,Cover Type,Score,Genres
398,A Little Life,Hanya Yanagihara,4.32,"720,001","First published March 10, 2015","When four classmates from a small Massachusetts college move to New York to make their way, they're broke, adrift, and buoyed only by their friendship and ambition. There is kind, handsome Willem, an aspiring actor; JB, a quick-witted, sometimes cruel Brooklyn-born painter seeking entry to the art world; Malcolm, a frustrated architect at a prominent firm; and withdrawn, brilliant, enigmatic Jude, who serves as their center of gravity. ","117,362",720,Hardcover,"33,472","Fiction, Contemporary, LGBT, Literary Fiction, Queer, Adult, Mental Health"
400,Inferno,Dante Alighieri,4.02,"188,338","First published January 1, 1320","Professor Esolen's translation of Dante's Inferno is the best one I have seen, for two reasons. His decision to use unrhymed blank verse allows him to come nearly as close to the meaning of the original as any prose reading could do, and allows him also to avoid the harrowing sacrifices that the demand for rhyme imposes on any translator. And his endnotes and other additions provoke answers to almost any question that could arise about the work."" —A. Kent Hieatt","8,390",490,Kindle Edition,"33,433","Classics, Poetry, Fiction, Literature, Religion, Fantasy, School"
395,The Martian Chronicles,Ray Bradbury,4.15,"269,005","First published May 4, 1950","The strange and wonderful tale of man’s experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.","11,776",182,Mass Market Paperback,"33,815","Science Fiction, Fiction, Classics, Short Stories, Fantasy, Science Fiction Fantasy, Audiobook"
396,Go Ask Alice,Beatrice Sparks,3.74,"280,449","First published January 1, 1971","It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life.","13,707",213,Paperback,"33,619","Young Adult, Fiction, Classics, Contemporary, Mental Health, Banned Books, Realistic Fiction"
397,The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19,"241,522","First published January 1, 1843","Edgar Allan Poe remains the unsurpassed master of works of mystery and madness in this outstanding collection of Poe's prose and poetry are sixteen of his finest tales, including:","1,688",448,Mass Market Paperback,"33,497","Classics, Horror, Fiction, Short Stories, Poetry, Gothic, Mystery"
394,القرآن الكريم,Anonymous,4.38,"69,307","First published March 18, 632","The Quran (English pronunciation: /kɔrˈɑːn/; Arabic: القرآن‎ al-qurʾān, IPA: [qurˈʔaːn], literally meaning ""the recitation""), also transliterated Qur'an, Koran, Al-Coran, Coran, Kur'an, and Al-Qur'an, is the central religious text of Islam, which Muslims believe to be the verbatim word of God (Arabic: الله‎, Allah). ","3,820",604,Hardcover,"33,828","Nonfiction, Classics, Philosophy, Religion, Spirituality, History, Theology"
391,Bel Canto,Ann Patchett,3.93,"294,247","First published May 22, 2001","Somewhere in South America, at the home of the country's vice president, a lavish birthday party is being held in honor of the powerful businessman Mr. Hosokawa. Roxane Coss, opera's most revered soprano, has mesmerized the international guests with her singing. It is a perfect evening—until a band of gun-wielding terrorists takes the entire party hostage. But what begins as a panicked, life-threatening scenario slowly evolves into something quite different, a moment of great beauty, as terrorists and hostages forge unexpected bonds and people from different continents become compatriots, intimate friends, and lovers.","19,710",318,Paperback,"34,380","Fiction, Contemporary, Literary Fiction, Historical Fiction, Book Club, Audiobook, Music"
392,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,"605,356","First published January 5, 1886","Robert Louis Stevenson's masterpiece of the duality of good and evil in man's nature sprang from the darkest recesses of his own unconscious—during a nightmare from which his wife awakened him, alerted by his screams. More than a hundred years later, this tale of the mild-mannered Dr. Jekyll and the drug that unleashes his evil, inner persona—the loathsome, twisted Mr. Hyde—has lost none of its ability to shock. Its realistic police-style narrative chillingly relates Jekyll's desperation as Hyde gains control of his soul—and gives voice to our own fears of the violence and evil within us. Written before Freud's naming of the ego and the id, Stevenson's enduring classic demonstrates a remarkable understanding of the personality's inner conflicts—and remains the irresistibly terrifying stuff of our worst nightmares.","24,664",139,Mass Market Paperback,"34,279","Horror, Gothic, Science Fiction, Mystery, Fantasy, Literature, Audiobook"
393,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.31,"1,322,665","First published May 2, 2019",Everyone in Fairview knows the story.,"143,173",433,Paperback,"34,262","Young Adult, Thriller, Mystery Thriller, Fiction, Crime, Audiobook, Contemporary"
390,"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,"442,564","First published January 1, 1995", ,"18,932",184,Paperback,"34,584","Nonfiction, Memoir, Biography, Psychology, Autobiography, Abuse, Biography Memoir"
388,11/22/63,Stephen        King,4.34,"566,264","First published November 8, 2011","On November 22, 1963, three shots rang out in Dallas, President Kennedy died, and the world changed. Unless...","50,865",849,Hardcover,"34,722","Fiction, Historical Fiction, Science Fiction, Time Travel, Horror, Fantasy, Thriller"
389,"The House of Hades (The Heroes of Olympus, #4)",Rick Riordan,4.57,"437,430","First published October 8, 2013", She and the remaining crew of the ,"24,263",597,Hardcover,"34,705","Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Greek Mythology"
386,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.83,"876,039","First published April 17, 2012","When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.","28,006",579,Paperback,"35,016","Romance, Erotica, Fiction, BDSM, Adult, Contemporary, Contemporary Romance"
387,It Ends with Us (It Ends with Us #1),Colleen Hoover,4.14,"3,874,996","First published August 2, 2016",Sometimes it is the one who loves you who hurts you the most.,"280,920",386,Kindle Edition,"34,749","Fiction, Contemporary, New Adult, Audiobook, Contemporary Romance, Adult, Abuse"
500,"Neuromancer (Sprawl, #1)",William Gibson,3.89,"337,197","First published January 1, 1984","Hotwired to the leading edges of art and technology, ","15,038",288,Kindle Edition,"23,761","Science Fiction, Fiction, Cyberpunk, Classics, Dystopia, Science Fiction Fantasy, Fantasy"
384,A Portrait of the Artist as a Young Man,James Joyce,3.64,"155,407","First published December 16, 1916","The portrayal of Stephen Dedalus's Dublin childhood and youth, his quest for identity through art and his gradual emancipation from the claims of family, religion and Ireland itself, is also an oblique self-portrait of the young James Joyce and a universal testament to the artist's 'eternal imagination'. Both an insight into Joyce's life and childhood, and a unique work of modernist fiction, ","8,116",329,Paperback,"35,605","Classics, Fiction, Literature, Irish Literature, Ireland, Novels, 20th Century"
497,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,4.09,"480,432","First published September 15, 1952","NARNIA... the world of wicked dragons and magic spells, where the very best is brought out of even the worst people, where anything can happen (and most often does)... and where the adventure begins.","11,649",248,Hardcover,"23,935","Fantasy, Fiction, Young Adult, Childrens, Adventure, Christian, Middle Grade"
499,Redeeming Love,Francine Rivers,4.51,"335,902","First published January 1, 1991","California’s gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep. ","19,499",479,Paperback,"23,838","Christian Fiction, Romance, Christian, Fiction, Historical Fiction, Historical, Historical Romance"
498,The Reader,Bernhard Schlink,3.78,"216,734","First published January 1, 1995","Hailed for its coiled eroticism and the moral claims it makes upon the reader, this mesmerizing novel is a story of love and secrets, horror and compassion, unfolding against the haunted landscape of postwar Germany.","13,372",216,Hardcover,"23,843","Fiction, Historical Fiction, Classics, German Literature, Romance, Holocaust, Historical"
385,Tuck Everlasting,Natalie Babbitt,3.90,"280,501","First published January 1, 1975","Doomed to - or blessed with - eternal life after drinking from a magic spring, the Tuck family wanders about trying to live as inconspicuously and comfortably as they can. When ten-year-old Winnie Foster stumbles on their secret, the Tucks take her home and explain why living forever at one age is less a blessing that it might seem. Complications arise when Winnie is followed by a stranger who wants to market the spring water for a fortune.","12,277",148,Paperback,"35,092","Fantasy, Classics, Young Adult, Fiction, Childrens, Middle Grade, School"
496,To the Lighthouse,Virginia Woolf,3.80,"191,657","First published May 5, 1927","The serene and maternal Mrs. Ramsay, the tragic yet absurd Mr. Ramsay, and their children and assorted guests are on holiday on the Isle of Skye. From the seemingly trivial postponement of a visit to a nearby lighthouse, Woolf constructs a remarkable, moving examination of the complex tensions and allegiances of family life and the conflict between men and women.","14,365",209,Paperback,"24,083","Classics, Fiction, Literature, Novels, Literary Fiction, Feminism, 20th Century"
